Province,Economic,Sponsored Family,Resettled Refugee & Protected Person in Canada,All Other Immigration
Newfoundland and Labrador,500,20,20,0
Prince Edward Island,1,545,105,135,0
Nova Scotia,1,480,80,130,0
New Brunswick,2,775,405,930,50
Quebec,13,265,5,360,2,885,405
Ontario,1,760,270,160,20
Manitoba,1,705,150,110,0
Saskatchewan,3,305,1,350,695,90
Alberta,4,970,1,545,580,160
British Columbia,130,10,0,0
Yukon,35,15,0,0
Northwest Territories,0,0,0,0
